Date,Open,High,Low,Adj Close,Volume,Close
15-10-2010,45.5,45.5,43.099998,37.167507,283892,43.900002
16-10-2010,44,44,42.549999,36.82885,1261939,43.5
17-10-2010,43.950001,44,42.5,36.27853,125436,42.849998
18-10-2010,42.75,42.900002,40,36.109207,98913,42.650002
19-10-2010,41.299999,44,41,35.770546,109092,42.25
20-10-2010,41.75,43.900002,41.75,36.490192,173111,43.099998
21-10-2010,43,43.200001,42.25,36.405521,235132,43
22-10-2010,43.200001,44,42.299999,36.659527,179379,43.299999
23-10-2010,43.900002,44.75,42.5,36.363205,1788477,42.950001
24-10-2010,43.799999,51.549999,43.599998,43.644302,1385389,51.549999
25-10-2010,52.200001,54.849998,48.099998,41.739365,1922215,49.299999
26-10-2010,48.900002,50.75,48.099998,41.612366,696201,49.150002
27-10-2010,49.200001,50.349998,48.5,41.358372,484836,48.849998
28-10-2010,49,50,48,40.935047,345516,48.349998
29-10-2010,48.950001,49.75,47.5,40.55407,248280,47.900002
30-10-2010,47.799999,47.799999,46.099998,39.45343,206263,46.599998
31-10-2010,47.200001,47.700001,45.549999,38.94545,159005,46
01-11-2010,46,49,46,40.935047,967117,48.349998
02-11-2010,48.900002,54.849998,48,44.321621,1520704,52.349998
03-11-2010,53,54.299999,49.799999,42.755329,1845776,50.5
04-11-2010,50.099998,50.700001,48.549999,42.28968,392696,49.950001
05-11-2010,50.700001,54.549999,50.150002,43.136322,1191589,50.950001
06-11-2010,43,52.200001,43,42.839985,781118,50.599998
07-11-2010,50.099998,51,49.5,42.078022,293705,49.700001
08-11-2010,50.75,51.900002,48.099998,41.86636,491130,49.450001
09-11-2010,49.5,50.25,48.400002,41.400707,332780,48.900002
10-11-2010,49,49.5,47.799999,41.062054,334895,48.5
11-11-2010,49,49,46.799999,39.749756,506110,46.950001
12-11-2010,46.200001,47.5,45.400002,39.284111,357078,46.400002
13-11-2010,45.549999,46.799999,44.900002,39.241779,1450964,46.349998
14-11-2010,47,47.5,46.400002,39.580429,582145,46.75
15-11-2010,47,48.200001,45.5,38.776115,160367,45.799999
16-11-2010,45.200001,47.799999,45.200001,40.088409,605977,47.349998
17-11-2010,48,49.900002,47.900002,41.062054,573683,48.5
18-11-2010,49,50.25,47.650002,41.654697,1452257,49.200001
19-11-2010,49.349998,49.950001,46.25,40.046078,474995,47.299999
20-11-2010,48.299999,48.299999,46.650002,39.961418,217618,47.200001
21-11-2010,47,50.900002,47,41.019722,807338,48.450001
22-11-2010,45,48.5,40.349998,38.987778,500898,46.049999
23-11-2010,47.400002,49.049999,46.549999,41.23138,654106,48.700001
24-11-2010,48.900002,51,47,40.850391,635541,48.25
25-11-2010,46.400002,47,45,38.14114,471124,45.049999
26-11-2010,45.099998,47.5,45.099998,39.961418,521259,47.200001
27-11-2010,48,48,45.200001,38.437458,177556,45.400002
28-11-2010,44.200001,46.5,44.200001,39.030109,155614,46.099998
29-11-2010,46.799999,46.799999,45.5,38.860783,85624,45.900002
30-11-2010,46.5,49.200001,46,40.765728,364357,48.150002
01-12-2010,48.549999,49.200001,48.25,41.23138,188485,48.700001
02-12-2010,46.5,48.5,46.5,40.892723,190504,48.299999
03-12-2010,48.400002,49.200001,48.150002,41.019722,136173,48.450001
04-12-2010,48.5,48.549999,47,40.046078,81212,47.299999
05-12-2010,47.5,48.5,47,40.00375,119565,47.25
06-12-2010,48,48.5,47.549999,40.723389,105826,48.099998
07-12-2010,47.599998,49.25,47.450001,41.485367,131162,49
08-12-2010,49.5,51,48.5,42.882332,518184,50.650002
09-12-2010,49.5,50.900002,49,42.247341,125033,49.900002
10-12-2010,49.900002,50,48.5,41.993347,443328,49.599998
11-12-2010,49.150002,49.5,47.650002,40.51173,84072,47.849998
12-12-2010,47.700001,48.349998,47.700001,40.765728,39568,48.150002
13-12-2010,48.299999,48.650002,46.349998,39.792088,266370,47
14-12-2010,47,49,47,40.173077,198125,47.450001
15-12-2010,48.5,50,48,41.019722,217022,48.450001
16-12-2010,49.200001,49.25,48.25,41.273708,82008,48.75
17-12-2010,49,49.700001,48,41.739365,76309,49.299999
18-12-2010,49.700001,50.200001,49.299999,42.28968,216581,49.950001
19-12-2010,50.450001,52,49.700001,43.771294,515626,51.700001
20-12-2010,52.5,52.799999,51.349998,44.067619,257251,52.049999
21-12-2010,52,52,49.5,42.416668,162391,50.099998
22-12-2010,51.950001,51.950001,49.700001,42.205009,671685,49.849998
23-12-2010,50.200001,51.5,48.049999,41.104385,738377,48.549999
24-12-2010,48.549999,50.75,47.650002,42.247341,909339,49.900002
25-12-2010,50.799999,50.900002,49.599998,42.501339,237191,50.200001
26-12-2010,49,51.75,49,42.924664,185037,50.700001
27-12-2010,51,51.450001,50,42.374336,109435,50.049999
28-12-2010,50.150002,50.849998,50,42.543663,143663,50.25
29-12-2010,48.349998,51.950001,48.349998,43.601967,376302,51.5
30-12-2010,51,52,51,43.728966,295805,51.650002
31-12-2010,51.650002,53.25,50,43.17865,788821,51
01-01-2011,51,53,50.400002,44.194618,402187,52.200001
02-01-2011,52.099998,52.900002,51.700001,44.236954,272730,52.25
03-01-2011,52.700001,53.75,51.799999,44.787266,464701,52.900002
04-01-2011,53.700001,53.700001,52.549999,44.871933,222414,53
05-01-2011,53.5,54.900002,52.200001,45.422241,500910,53.650002
06-01-2011,53,54.900002,53,45.676239,337313,53.950001
07-01-2011,53,54.25,52.900002,45.803226,242649,54.099998
08-01-2011,54,54.849998,54,45.930233,189336,54.25
09-01-2011,47.049999,57,47.049999,47.369514,898839,55.950001
10-01-2011,56.200001,57.950001,55.049999,48.597141,491857,57.400002
11-01-2011,53.25,60,53.25,49.867107,1447002,58.900002
12-01-2011,59,61,57.75,51.221733,1194531,60.5
13-01-2011,60.549999,61.400002,59.5,50.925411,541965,60.150002
14-01-2011,59.650002,60.75,58.5,51.052406,387233,60.299999
15-01-2011,60.299999,61,58.099998,49.528446,705571,58.5
16-01-2011,58.5,59.799999,57.049999,48.55481,263676,57.349998
17-01-2011,57.5,58.150002,55.5,47.200188,234754,55.75
18-01-2011,55.200001,57.75,55,47.835171,394090,56.5
