Date,Open,High,Low,Close,Adj Close,Volume
02-01-2007,37.349998,38.049999,37.349998,37.990002,32.740734,623860
03-01-2007,37.799999,38.599998,37.535,37.950001,32.706268,619080
04-01-2007,38.014999,38.294998,37.400002,37.610001,32.41325,321610
05-01-2007,37.799999,37.994999,37.400002,37.485001,32.305515,146430
08-01-2007,37.325001,37.970001,37.200001,37.285,32.13316,167980
09-01-2007,37.400002,37.700001,36.299999,36.915001,31.814274,186900
10-01-2007,37.400002,39.09,37,38.025002,32.770908,661970
11-01-2007,38.099998,38.799999,38.080002,38.665001,33.322472,427910
12-01-2007,38.700001,46.400002,38.630001,46.400002,39.988693,5565870
15-01-2007,49.799999,53.785,47.009998,47.43,40.876366,19411870
16-01-2007,47.799999,48.189999,45.299999,46.189999,39.807697,6075240
17-01-2007,46.5,47.77,45.924999,46.165001,39.786156,2245870
18-01-2007,46.560001,47,44.5,45.105,38.87262,1092850
19-01-2007,45.5,46.490002,44.805,45.695,39.381104,1341970
22-01-2007,46.990002,47.674999,45.700001,45.904999,39.562084,1806190
23-01-2007,45,46.185001,42.805,43.400002,37.403217,939690
24-01-2007,43.98,44.93,43.099998,43.959999,37.885834,896890
25-01-2007,44.645,44.794998,44.110001,44.294998,38.174541,599210
29-01-2007,44.599998,51.119999,43.799999,48.169998,41.514114,8841600
31-01-2007,48.369999,50.299999,48.169998,48.860001,42.108776,5018180
01-02-2007,49.470001,49.860001,48.105,48.439999,41.746811,1925330
02-02-2007,48.700001,49,47.310001,47.625,41.044418,1468450
05-02-2007,47.900002,49.849998,47.099998,49.349998,42.531059,1938920
06-02-2007,49.5,53.299999,49.5,51.285,44.198696,6035530
07-02-2007,51.400002,52.799999,47.759998,50.959999,43.918602,2297180
08-02-2007,51.970001,51.970001,48.73,49.154999,42.363026,1954240
09-02-2007,49.474998,49.474998,46.564999,47.209999,40.686764,1711000
12-02-2007,47.630001,49.869999,45.055,45.619999,39.31646,2221730
13-02-2007,45.75,47.439999,44.200001,45.595001,39.294914,1221150
14-02-2007,44.200001,46.490002,44,44.709999,38.532211,1224520
15-02-2007,45.445,46.5,45.445,45.904999,39.562084,789590
19-02-2007,46.25,52.400002,45.810001,50.490002,43.513561,5985000
20-02-2007,50.869999,51.474998,47.810001,48.73,41.996738,2259260
21-02-2007,49,50.599998,47.5,50.07,43.151585,2005490
22-02-2007,50,50.439999,48.25,48.52,41.815754,1030260
23-02-2007,48.75,49.299999,46.799999,47.195,40.67384,1264220
26-02-2007,47.599998,48,46.105,47.259998,40.729855,803180
27-02-2007,47.900002,48.395,46.610001,47.419998,40.867748,579680
28-02-2007,43.799999,46.875,38.154999,45.595001,39.294914,934460
01-03-2007,45.5,47.490002,44.700001,44.950001,38.739037,942730
02-03-2007,45.209999,48.685001,44.52,44.994999,38.777821,3014190
05-03-2007,43,44.5,41.110001,41.650002,35.895031,923000
06-03-2007,42.389999,44.950001,40.110001,41.02,35.35207,966570
07-03-2007,42.900002,42.900002,40.400002,41.014999,35.347763,746300
08-03-2007,41.400002,42.799999,40.205002,42.544998,36.666351,916170
09-03-2007,43.040001,43.5,41.705002,43.220001,37.248089,776590
12-03-2007,50.540001,50.540001,42.099998,44.580002,38.420162,1077450
13-03-2007,45.200001,48.400002,44.990002,47.185001,40.665215,5124810
14-03-2007,46,46.5,44.32,44.959999,38.747665,1094130
15-03-2007,45.700001,46.900002,44.599998,45.084999,38.855389,800540
16-03-2007,45.5,45.700001,44,44.654999,38.484798,421740
19-03-2007,45.400002,45.5,44.23,44.505001,38.35553,435620
20-03-2007,45.200001,45.599998,44.299999,44.535,38.38139,610110
21-03-2007,44.799999,44.990002,44.005001,44.299999,38.178856,410010
22-03-2007,45,46.299999,44.119999,44.59,38.42878,1913200
23-03-2007,44.799999,44.799999,42.59,43.73,37.687607,1156450
26-03-2007,44,44.5,43.810001,44.035,37.950478,596670
28-03-2007,44.099998,44.099998,43.255001,43.540001,37.523872,319090
29-03-2007,43.900002,44.150002,43,43.235001,37.261009,320830
30-03-2007,43.799999,44,43.400002,43.650002,37.618668,282480
02-04-2007,43,43,40.73,41.529999,35.791599,696510
03-04-2007,41.799999,42.700001,41.599998,42.424999,36.562931,435580
04-04-2007,43,44,42.049999,43.450001,37.446312,301820
05-04-2007,42.099998,44.279999,42.099998,43.75,37.704849,309210
09-04-2007,44,44.724998,43.904999,44.25,38.135765,417850
10-04-2007,44.849998,44.900002,44.125,44.709999,38.532211,392470
11-04-2007,50,50,44.255001,44.759998,38.575291,427920
12-04-2007,44.5,45.200001,44,44.974998,38.760586,289060
13-04-2007,45.5,45.5,43.799999,44.845001,38.64856,385030
16-04-2007,45.200001,46.400002,45.130001,46.044998,39.682747,607330
17-04-2007,46,47.580002,45.400002,46.775002,40.311867,710600
18-04-2007,47.400002,47.599998,46.400002,46.91,40.428211,492590
19-04-2007,46,47,45.400002,46.845001,40.3722,345680
20-04-2007,47.400002,47.700001,46.5,46.599998,40.161053,310890
23-04-2007,47,47.700001,46.224998,46.555,40.122272,274950
24-04-2007,46.599998,47.5,46.549999,47.125,40.613506,370560
25-04-2007,47.799999,47.799999,46.5,47.055,40.553185,194490
26-04-2007,47.400002,47.700001,46.200001,46.330002,39.928364,163220
27-04-2007,45.900002,46.900002,45.400002,45.595001,39.294914,133890
30-04-2007,46.470001,46.470001,45.02,45.73,39.411255,96920
03-05-2007,46.380001,47.200001,46.049999,46.959999,40.47131,217120
04-05-2007,47,47.450001,46.799999,47.064999,40.561798,1395990
07-05-2007,47.400002,47.700001,46.599998,47.095001,40.587654,452930
08-05-2007,47.095001,47.099998,46.5,46.740002,40.281715,361200
09-05-2007,46.75,47,46,46.404999,39.993,238660
10-05-2007,47,47.490002,46.82,46.955002,40.467007,302430
11-05-2007,46.5,47.200001,46.5,46.794998,40.329102,474420
14-05-2007,47.990002,48.005001,47.099998,47.455002,40.897915,397840
15-05-2007,47.939999,50.5,47.709999,49.825001,42.940441,3447240
16-05-2007,50,50.580002,48.5,49.139999,42.35009,1518930
17-05-2007,49.705002,49.705002,48.400002,48.939999,42.177734,547150
18-05-2007,49,49,48.299999,48.610001,41.893322,222090
21-05-2007,48.700001,50.5,48.700001,49.66,42.798244,746140
22-05-2007,50.099998,50.400002,49,49.639999,42.78101,655140
23-05-2007,49.700001,49.834999,48.915001,49.134998,42.345779,152270
24-05-2007,49.049999,49.474998,48.299999,48.744999,42.009666,255140
25-05-2007,49,49.5,47.5,48.845001,42.095852,190430
28-05-2007,49.400002,49.540001,48.799999,48.974998,42.207882,177800
29-05-2007,48.400002,49.5,48.400002,48.93,42.169102,231670
30-05-2007,49.599998,51.900002,48.900002,49.470001,42.634495,1891910
31-05-2007,50,50.669998,48.599998,48.875,42.121704,317810
01-06-2007,49.189999,49.57,47.799999,48.474998,41.776985,269610
04-06-2007,48.5,49.299999,47.599998,47.790001,41.186619,258500
05-06-2007,48.16,48.16,46.799999,47.099998,40.591965,398330
06-06-2007,47.5,47.994999,46.799999,47.064999,40.561798,322930
07-06-2007,47.400002,47.799999,46.5,47.125,40.613506,138390
08-06-2007,46.099998,47.294998,46.099998,46.599998,40.161053,135530
11-06-2007,47.09,47.584999,46.099998,46.455002,40.036087,97060
12-06-2007,46.599998,46.889999,45.5,46.099998,39.730148,128280
13-06-2007,46.314999,46.985001,45.75,46.595001,40.156746,68280
14-06-2007,47.189999,48,46.799999,46.974998,40.484238,290960
15-06-2007,47.599998,47.599998,46.91,47.040001,40.54026,78210
18-06-2007,47.700001,47.700001,46.805,47.52,40.953934,146660
19-06-2007,48.200001,48.23,46.799999,47.240002,40.712624,228580
20-06-2007,47.485001,47.485001,46.599998,46.945,40.673622,120120
21-06-2007,47.299999,51.200001,47.205002,49.080002,42.523418,1728220
22-06-2007,49.695,49.695,48,48.380001,41.916931,278100
25-06-2007,48,49,47.799999,48.595001,42.10321,163820
26-06-2007,48.889999,49,47.599998,47.785,41.401421,227380
27-06-2007,50,50,46.884998,47.07,40.781933,339250
28-06-2007,47.689999,49.474998,47.299999,48.924999,42.389126,641830
29-06-2007,49.200001,50.470001,48,48.240002,41.795631,158050
02-07-2007,48.900002,48.900002,47.5,47.68,41.310455,232670
03-07-2007,48.200001,48.700001,48.049999,48.435001,41.964581,174430
